Region Code,Region,Name,Type,Address,CAP,City,State
130,Abruzzo,ASL Avezzano-Sulmona-L'Aquila,ASL,L'Aquila  Via G. Bellisari Snc -,67100,L'Aquila,Italy
200,Sardegna,ASL Per La Tutela Della Salute,ASL,Via Monte Grappa 82,7100,Sassari,Italy
170,Basilicata,ASL Sanitaria Locale Di Matera  Asm,ASL,Via Montescaglioso 20,75100,Matera,Italy
170,Basilicata,ASL Sanitaria Locale Di Potenza Asp,ASL,Via Torraca 2,85100,Potenza,Italy
20,Valle D'Aosta,U.S.L. Valle D'Aosta,U.S.L.,Via Guido Rey 1,11100,Aosta,Italy
50,Veneto,Ulss N.1 Dolomiti,Ulss,Via Feltre 57,32100,Belluno,Italy
50,Veneto,Ulss N.2 Marca Trevigiana,Ulss,Via S. Ambrogio In Fiera 37,31100,Treviso,Italy
50,Veneto,Ulss N.3 Serenissima,Ulss,Via Don Federico Tosatto 147,30174,Venezia,Italy
50,Veneto,Ulss N.4 Veneto Orientale,Ulss,P.Zza De Gasperi 5,30027,San Dona' Di Piave,Italy
50,Veneto,Ulss N.5 Polesana,Ulss,V.Le Tre Martiri 89,45100,Rovigo,Italy
50,Veneto,Ulss N.6 Euganea,Ulss,Via E. Degli Scrovegni 14,35131,Padova,Italy
50,Veneto,Ulss N.7 Pedemontana,Ulss,Via Dei Lotti 40,36061,Bassano Del Grappa,Italy
50,Veneto,Ulss N.8 Berica,Ulss,V.Le Rodolfi 37,36100,Vicenza,Italy
50,Veneto,Ulss N.9 Scaligera,Ulss,Via Valverde 42,37122,Verona,Italy
80,Emilia Romagna,Usl Bologna,Usl,Via Castiglione 29,40124,Bologna,Italy
80,Emilia Romagna,Usl Cesena,Usl,P.Zza Leonardo Sciascia 111/2,47522,Cesena,Italy
80,Emilia Romagna,Usl Della Asl Romagna,Usl,Via De Gasperi 8,48100,Ravenna,Italy
80,Emilia Romagna,Usl Ferrara,Usl,Via A.Cassoli 30,44100,Ferrara,Italy
80,Emilia Romagna,Usl Ferrara,Usl,Via A.Cassoli 30,44121,Ferrara,Italy
80,Emilia Romagna,Usl Forli',Usl,Corso Repubblica 171/D,47100,Forli',Italy
80,Emilia Romagna,Usl Imola,Usl,Viale  Amendola 2,40026,Imola,Italy
80,Emilia Romagna,Usl Modena,Usl,Via S.Giovanni Del Cantone 23,41100,Modena,Italy
80,Emilia Romagna,Usl Paasl Roma Rma,Usl,Strada Del Quartiere 2/A,43123,Parma,Italy
80,Emilia Romagna,Usl Piacenza,Usl,Corso Vittorio Emanuele Ii° 169,29100,Piacenza,Italy
80,Emilia Romagna,Usl Piacenza,Usl,Via Antonio Anguissola 15,29121,Piacenza,Italy
80,Emilia Romagna,Usl Ravenna,Usl,Via A. De Gasperi 8,48100,Ravenna,Italy
80,Emilia Romagna,Usl Reggio Emilia,Usl,Via Amendola 2,42122,Reggio Nell'Emilia,Italy
80,Emilia Romagna,Usl Rimini,Usl,Via Coriano 38,47037,Rimini,Italy
90,Toscana,Usl Toscana Centro,Usl,Piazza Santa Maria Nuova 1,50122,Firenze,Italy
90,Toscana,Usl Toscana Nord-Ovest,Usl,Via Cocchi 7/9,56124,Pisa,Italy
90,Toscana,Usl Toscana Sud-Est,Usl,Via Curtatone 54,52100,Arezzo,Italy
60,Friuli Venezia Giulia,Aas Bassa Friulana,Aas,Via Natisone-Fraz. Jalmicco,33057,Palmanova,Italy
60,Friuli Venezia Giulia,Aas Bassa Friulana,Aas,Via Natisone 11,33057,Palmanova,Italy
60,Friuli Venezia Giulia,Aas Bassa Friulana - Isontina,Aas,Via Vittorio Veneto 174,34170,Gorizia,Italy
50,Veneto,Aulss Bassano Del Grappa,Aulss,Via Dei Lotti 40,36061,Bassano Del Grappa,Italy
50,Veneto,Aulss Belluno,Aulss,Via Feltre  57,32100,Belluno,Italy
50,Veneto,Aulss Belluno,Aulss,Via Feltre 57,32100,Belluno,Italy
10,Piemonte,Asl Biella,Asl,Via Marconi 23,13900,Biella,Italy
10,Piemonte,Asl Biella,Asl,Via Dei Ponderanesi 2,13875,Ponderano,Italy
50,Veneto,Asl Bussolengo,Asl,Via Citella 52,37012,Bussolengo,Italy
50,Veneto,Asl Bussolengo,Asl,Via Citella 0,37012,Bussolengo,Italy
50,Veneto,Asl Bussolengo,Asl,C. A. Dalla Chiesa 0,37012,Bussolengo,Italy
200,Sardegna,Asl Cagliari,Asl,Via Logudoro 17,9100,Cagliari,Italy
200,Sardegna,Assl Carbonia,Assl,Via Dalmazia,9016,Iglesias,Italy
200,Sardegna,Assl Carbonia,Assl,Via Dalmazia 83,9013,Carbonia,Italy
70,Liguria,Asl Chiavarese,Asl,Via C.B.Ghio 9,16043,Chiavari,Italy
70,Liguria,Asl Chiavarese,Asl,Via G.B.Ghio 9,16043,Chiavari,Italy
50,Veneto,Aulss Chioggia,Aulss,Strada Madonna Marina 500,30015,Chioggia,Italy
100,Umbria,Usl Citta' Di Castello,Usl,Via Luigi Angelini 10,6012,Citta` Di Castello,Italy
50,Veneto,Aulss Cittadella,Aulss,Via Casa Di Ricovero  40,35010,Cittadella,Italy
50,Veneto,Aulss Cittadella,Aulss,Via Casa Di Ricovero 40,35013,Cittadella,Italy
10,Piemonte,Asl Cuneo Cn1,Asl,Via Carlo Boggio 12,12100,Cuneo,Italy
10,Piemonte,Asl Cuneo Cn2,Asl,Via Vida 10,12051,Alba,Italy
90,Toscana,Ausl Empoli,Ausl,P.Zza Xxiv Luglio 1,50053,Empoli,Italy
90,Toscana,Ausl Empoli,Ausl,Via Dei Cappuccini 79,50053,Empoli,Italy
50,Veneto,Aulss Este Monselice Montagnana,Aulss,Via G. Marconi 19,35043,Montagnana,Italy
50,Veneto,Aulss Feltre,Aulss,Via Bagnols Sur Ceze' 3,32032,Feltre,Italy
90,Toscana,Ausl Firenze,Ausl,P.Zza S.Maria Nuova 1,50122,Firenze,Italy
100,Umbria,Ausl Foligno,Ausl,Piazza Giacomini 40,6034,Foligno,Italy
60,Friuli Venezia Giulia,As Friuli Centrale,As,Via Pozzuolo 330,33100,Udine,Italy
60,Friuli Venezia Giulia,As Friuli Occidentale,As,Via Della Vecchia Ceramica,33170,Pordenone,Italy
60,Friuli Venezia Giulia,As Friuli Occidentale,As,Via Della Vecchia Ceramica 1,33170,Pordenone,Italy
120,Lazio,Asl Frosinone,Asl,Viale A. Fabi Snc,3100,Frosinone,Italy
70,Liguria,Asl Genovese,Asl,Via G. Maggio 6,16147,Genova,Italy
70,Liguria,Asl Genovese,Asl,Via Bertani 4,16125,Genova,Italy
90,Toscana,Asl Grosseto,Asl,Via Monteleoni 6/B,58100,Grosseto,Italy
90,Toscana,Asl Grosseto,Asl,Via Cimabue 109,58100,Grosseto,Italy
70,Liguria,Asl Imperiese,Asl,"Via Aurelia, 97",18032,San Remo,Italy
70,Liguria,Asl Imperiese,Asl,Via Aurelia Ponente 97,18038,Sanremo,Italy
70,Liguria,Asl Imperiese,Asl,Via Aurelia Ponente 97,18038,San Remo,Italy
60,Friuli Venezia Giulia,Aas Isontina,Aas,Via Vittorio Veneto 24,34170,Gorizia,Italy
60,Friuli Venezia Giulia,Aas Isontina,Aas,Via Vittorio Veneto 174,34170,Gorizia,Italy
130,Abruzzo,Asl Lanciano-Vasto-Chieti,Asl,Via Martiri Lancianesi 19,66100,Chieti,Italy
130,Abruzzo,Asl Lanciano-Vasto-Chieti,Asl,Chieti  Via Martiri Lancianesi 19,66100,Chieti,Italy
200,Sardegna,Assl Lanusei,Assl,Via Piscinas 5,8045,Lanusei,Italy
120,Lazio,Ausl Latina,Ausl,V.Le Pierluigi Nervi Torre 2G Snc,4100,Latina,Italy
50,Veneto,Asst Legnago,Asst,Via Gianella  1,37045,Legnago,Italy
50,Veneto,Asst Legnago,Asst,Via Gianella 1,37045,Legnago,Italy
90,Toscana,Ausl Livorno,Ausl,Via Monterotondo 49,57100,Livorno,Italy
180,Calabria,Asp Locri,Asp,Ctr. Verga,89044,Locri,Italy
90,Toscana,Ausl Lucca,Ausl,V. Per S.Alessio M.S. Quiri,55100,Lucca,Italy
90,Toscana,Ausl Lucca,Ausl,V. Per S.Alessio M.S. Quirico,55100,Lucca,Italy
90,Toscana,Ausl Lucca,Ausl,V. Per S.Alessio M.S. Quirico 1,55100,Lucca,Italy
90,Toscana,Ausl Massa Carrara,Ausl,Via Don Minzoni 3,54033,Carrara,Italy
60,Friuli Venezia Giulia,Aas Medio Friuli,Aas,Via Colugna 50,33100,Udine,Italy
60,Friuli Venezia Giulia,Aas Medio Friuli,Aas,Via Pozzuolo 330,33100,Udine,Italy
50,Veneto,Asl Mirano,Asl,Via Mariutto 76,30035,Mirano,Italy
50,Veneto,Asl Monselice,Asl,Via G. Marconi 19,35043,Monselice,Italy
10,Piemonte,Asl Novara,Asl,Via Dei Mille 2,28100,Novara,Italy
200,Sardegna,Asl Nuoro,Asl,Via A. Demurtas 1,8100,Nuoro,Italy
200,Sardegna,Assl Olbia,Assl,Viale Aldo Moro,7026,Olbia,Italy
200,Sardegna,Assl Oristano,Assl,Via Carducci,9170,Oristano,Italy
200,Sardegna,Assl Oristano,Assl,Via Carducci 35,9170,Oristano,Italy
50,Veneto,Aulss Padova,Aulss,Via E. Degli Scrovegni 14,35100,Padova,Italy
